Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-01-02 00:00:00-05:00,2018,1,2,Tuesday,00,2018-00,267.84,268.81,267.4,268.77,86655700,244.06,0.0,244.06,244.06
2018-01-03 00:00:00-05:00,2018,1,3,Wednesday,00,2018-00,268.96,270.64,268.96,270.47,90070400,245.6,0.006325146992082198,244.82999999999998,244.82999999999998
2018-01-04 00:00:00-05:00,2018,1,4,Thursday,00,2018-00,271.2,272.16,270.54,271.61,80636400,246.64,0.004214904853378165,245.4333333333333,245.4333333333333
2018-01-05 00:00:00-05:00,2018,1,5,Friday,00,2018-00,272.51,273.56,271.95,273.42,83524000,248.28,0.006664180006173082,246.14499999999998,246.14499999999998
2018-01-08 00:00:00-05:00,2018,1,8,Monday,01,2018-01,273.31,274.1,272.98,273.92,57319200,248.73,0.0018283731056210062,246.66199999999998,246.66199999999998
2018-01-09 00:00:00-05:00,2018,1,9,Tuesday,01,2018-01,274.4,275.25,274.08,274.54,57254000,249.3,0.0022635357264804146,247.10166666666666,247.10166666666666
2018-01-10 00:00:00-05:00,2018,1,10,Wednesday,01,2018-01,273.68,274.42,272.92,274.12,69574300,248.92,-0.0015295682247411513,247.36142857142858,247.36142857142858
2018-01-11 00:00:00-05:00,2018,1,11,Thursday,01,2018-01,274.75,276.12,274.56,276.12,62361500,250.73,0.007296103452507641,247.7825,247.7825
2018-01-12 00:00:00-05:00,2018,1,12,Friday,01,2018-01,276.42,278.11,276.08,277.92,90816100,252.37,0.006518814689043806,248.29222222222222,248.29222222222222
2018-01-16 00:00:00-05:00,2018,1,16,Tuesday,02,2018-02,279.35,280.09,276.18,276.97,106555100,251.5,-0.0034182650413940863,248.613,248.613
2018-01-17 00:00:00-05:00,2018,1,17,Wednesday,02,2018-02,278.03,280.05,276.97,279.61,113258800,253.9,0.0095313488071056,249.09363636363634,249.09363636363634
2018-01-18 00:00:00-05:00,2018,1,18,Thursday,02,2018-02,279.48,279.96,278.58,279.14,100728000,253.47,-0.001680743678746266,249.45833333333334,249.45833333333334
2018-01-19 00:00:00-05:00,2018,1,19,Friday,02,2018-02,279.8,280.41,279.14,280.41,140920100,254.63,0.004549928119900626,249.85615384615386,249.85615384615386
2018-01-22 00:00:00-05:00,2018,1,22,Monday,03,2018-03,280.17,282.69,280.11,282.69,91322400,256.7,0.008131046936189046,250.345,250.345
2018-01-23 00:00:00-05:00,2018,1,23,Tuesday,03,2018-03,282.74,283.62,282.37,283.29,97084700,257.24,0.0021223378195440734,251.2864285714286,250.80466666666663
2018-01-24 00:00:00-05:00,2018,1,24,Wednesday,03,2018-03,284.02,284.7,281.84,283.18,134816100,257.14,-0.00038852430875002675,252.1107142857143,251.200625
2018-01-25 00:00:00-05:00,2018,1,25,Thursday,03,2018-03,284.16,284.27,282.4,283.3,84587300,257.25,0.0004238044465880719,252.8685714285714,251.5564705882353
2018-01-26 00:00:00-05:00,2018,1,26,Friday,03,2018-03,284.25,286.63,283.96,286.58,107743100,260.23,0.011577736476358957,253.72214285714287,252.0383333333333
2018-01-29 00:00:00-05:00,2018,1,29,Monday,04,2018-04,285.93,286.43,284.5,284.68,90118300,258.5,-0.006629590899639881,254.42000000000002,252.37842105263155
2018-01-30 00:00:00-05:00,2018,1,30,Tuesday,04,2018-04,282.6,284.74,281.22,281.76,131796400,255.85,-0.01025719153254434,254.88785714285714,252.552
2018-01-31 00:00:00-05:00,2018,1,31,Wednesday,04,2018-04,282.73,283.3,280.68,281.9,108364800,255.98,0.0004967314663968381,255.3921428571429,252.71523809523808
2018-02-01 00:00:00-05:00,2018,2,1,Thursday,04,2018-04,281.07,283.06,280.68,281.58,90102500,255.69,-0.001135256802301421,255.7464285714286,252.85045454545454
2018-02-02 00:00:00-05:00,2018,2,2,Friday,04,2018-04,280.08,280.23,275.41,275.45,173174800,250.12,-0.021769904269257512,255.58571428571426,252.7317391304348
2018-02-05 00:00:00-05:00,2018,2,5,Monday,05,2018-05,273.45,275.85,263.31,263.93,294681800,239.66,-0.041822282796120214,254.73999999999998,252.18708333333333
2018-02-06 00:00:00-05:00,2018,2,6,Tuesday,05,2018-05,259.94,269.7,258.7,269.13,355026800,244.38,0.01970204266450981,254.06,251.8748
2018-02-07 00:00:00-05:00,2018,2,7,Wednesday,05,2018-05,268.5,272.36,267.58,267.67,167376100,243.06,-0.0054247019932262,253.31642857142856,251.53576923076923
2018-02-08 00:00:00-05:00,2018,2,8,Thursday,05,2018-05,268.01,268.17,257.59,257.63,246449500,233.94,-0.03750905653064296,251.8385714285714,250.88407407407408
2018-02-09 00:00:00-05:00,2018,2,9,Friday,05,2018-05,260.8,263.61,252.92,261.5,283565300,237.46,0.015021823841657511,250.46428571428572,250.40464285714285
2018-02-12 00:00:00-05:00,2018,2,12,Monday,06,2018-06,263.83,267.01,261.66,265.34,143736000,240.94,0.01468429120901149,249.3,250.07827586206895
2018-02-13 00:00:00-05:00,2018,2,13,Tuesday,06,2018-06,263.97,266.62,263.31,266.0,81223600,241.54,0.0024873892146974885,248.18571428571428,249.79366666666664
2018-02-14 00:00:00-05:00,2018,2,14,Wednesday,06,2018-06,264.31,270.0,264.3,269.59,120735700,244.8,0.013495872228766581,247.29642857142858,249.63258064516128
